ramp,Asc.ver,Cus.glo,Dal.can,Des.ill,Hel.rig,Mon.fis,Oxa.str,Phy.pum,Rue.hum,Sch.nut,Sis.cam,Amb.art,Phy.vir,Car.spp,Dic.oli,And.ger,And.sco,Bou.cur,Pan.vir,Sor.nut,Spo.asp,Tri.dac,Amb.art,Amb.psi,Amo.can,Ast.eri,Eup.ser,Kuh.eup,Les.cap,Ros.ark,Rue.sp,Sal.leu,Sol.can,Sol.mis,Sol.rig,Sym.orb,Teu.can,Ver.bal
1,0.25,0,0,0,0.25,0,0,1.5,0,5,0.5,0.25,0,1.75,0.75,91.25,0,0,8.75,7.5,0,0,0,0,0,0.25,0.25,0,0,0,0,0,12.25,0,0,1.75,0,0
2,0.25,0,0.25,0,0,0,0,2.25,0,0,0,0.25,0,2.5,1.25,38.75,13.25,2.75,0,21.25,3.75,0,0,0,0,1.75,0.25,1.25,0,0,0,0.75,1.25,43.75,0,0,0,1.25
3,1,0,1.25,0,5.25,0,0,3.75,0,0,0,0,0,1.5,1.25,92.5,0.75,0,0,8.75,1.5,0,0,0.5,0,3.75,0,0,0,0,0,1.25,10.25,0,0,0,0,0
4,0,0,0,0.5,4.25,15,0,2.5,0,0,0,0.25,0,4,1.5,90,1.25,0,0,11.25,1.5,0,0,0,0,6.5,0,0.25,0,3.25,0,4,2,0,0,0,0,0
5,0,0,2.5,0,0,0,0,1.25,0,0,0,0.75,0,4.5,1,87.5,0,0,0,10,0.5,2.75,0,0,1.75,0,0,0,0,12,0,0,5.75,0,0,2.5,0,0
6,1,0,3.25,1.5,0.5,0,0,0,1.25,0,0,0,1.75,4.75,2.5,93.75,1.75,0.5,0,6.25,1.5,0,0,0,0,1.5,0.25,0,0,0,1.25,3.75,17,0,0,0,0,1.25
7,1,0,2,0,0,0,0.5,0,0.25,6.25,0,0.25,2.5,4,1.25,100,0,0,0,4,0.5,0,0,0,0,1.75,0,0,0,0,0,2,4.5,2,0,0,0,0.75
8,0.75,0,0,0,0,0,0.25,1.25,0,1.25,0,0,0,1.5,0.5,95,0,0,0,4.25,0.5,0,0,0,0,1.75,0,0,0,0,0,5.75,2.5,9,0,0,0,0
9,1.25,0,0.75,0,0,0,0.25,0,1,0,0,0.75,2.25,1,2.25,82.5,1.75,2,0,7.5,1,0,0,1.25,4.25,2,0,0.25,0,0,0.5,0,5.5,0,0.75,0,0,2
10,1,0,3.25,0.25,0,0,0,3.75,0.25,0,0,0.25,1.25,4.5,1,58.75,9.5,0.75,1.25,4.25,5.5,3.75,0,0,10.5,0.75,0,3.25,2,0,0,0,2,11.25,14.25,0,0,0
