"","Seq","AOU","English_Common_Name","French_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","Species"
"1302",4204,5650,"Black-chinned Sparrow                              ","Bruant à menton noir                               ","Spizella atrogularis                               ","Passeriformes                                      ","Emberizidae                                        ","Spizella                                           ","atrogularis                                       "
"1303",4207,5400,"Vesper Sparrow                                     ","Bruant vespéral                                    ","Pooecetes gramineus                                ","Passeriformes                                      ","Emberizidae                                        ","Pooecetes                                          ","gramineus                                         "
"1304",4210,5520,"Lark Sparrow                                       ","Bruant à joues marron                              ","Chondestes grammacus                               ","Passeriformes                                      ","Emberizidae                                        ","Chondestes                                         ","grammacus                                         "
"1305",4213,5742,"Five-striped Sparrow                               ","Bruant pentaligne                                  ","Amphispiza quinquestriata                          ","Passeriformes                                      ","Emberizidae                                        ","Amphispiza                                         ","quinquestriata                                    "
"1306",4216,5730,"Black-throated Sparrow                             ","Bruant à gorge noire                               ","Amphispiza bilineata                               ","Passeriformes                                      ","Emberizidae                                        ","Amphispiza                                         ","bilineata                                         "
"1307",4219,5740,"Sage Sparrow                                       ","Bruant de Bell                                     ","Amphispiza belli                                   ","Passeriformes                                      ","Emberizidae                                        ","Amphispiza                                         ","belli                                             "
"1308",4222,6050,"Lark Bunting                                       ","Bruant noir et blanc                               ","Calamospiza melanocorys                            ","Passeriformes                                      ","Emberizidae                                        ","Calamospiza                                        ","melanocorys                                       "
"1309",4225,5420,"Savannah Sparrow                                   ","Bruant des prés                                    ","Passerculus sandwichensis                          ","Passeriformes                                      ","Emberizidae                                        ","Passerculus                                        ","sandwichensis                                     "
"1310",4228,5460,"Grasshopper Sparrow                                ","Bruant sauterelle                                  ","Ammodramus savannarum                              ","Passeriformes                                      ","Emberizidae                                        ","Ammodramus                                         ","savannarum                                        "
"1311",4231,5450,"Baird's Sparrow                                    ","Bruant de Baird                                    ","Ammodramus bairdii                                 ","Passeriformes                                      ","Emberizidae                                        ","Ammodramus                                         ","bairdii                                           "
"1312",4234,5470,"Henslow's Sparrow                                  ","Bruant de Henslow                                  ","Ammodramus henslowii                               ","Passeriformes                                      ","Emberizidae                                        ","Ammodramus                                         ","henslowii                                         "
"1313",4237,5480,"Le Conte's Sparrow                                 ","Bruant de Le Conte                                 ","Ammodramus leconteii                               ","Passeriformes                                      ","Emberizidae                                        ","Ammodramus                                         ","leconteii                                         "
"1314",4240,5491,"Nelson's Sparrow                                   ","Bruant de Nelson                                   ","Ammodramus nelsoni                                 ","Passeriformes                                      ","Emberizidae                                        ","Ammodramus                                         ","nelsoni                                           "
"1315",4243,5490,"Saltmarsh Sparrow                                  ","Bruant à queue aiguë                               ","Ammodramus caudacutus                              ","Passeriformes                                      ","Emberizidae                                        ","Ammodramus                                         ","caudacutus                                        "
"1316",4246,5492,"unid. Nelson's Sparrow / Saltmarsh Sparrow         ","unid Bruant de Nelson / Bruant à queue aiguë       ","Ammodramus nelsoni / caudacutus                    ","Passeriformes                                      ","Emberizidae                                        ","Ammodramus                                         ","nelsoni / caudacutus                              "
"1317",4249,5500,"Seaside Sparrow                                    ","Bruant maritime                                    ","Ammodramus maritimus                               ","Passeriformes                                      ","Emberizidae                                        ","Ammodramus                                         ","maritimus                                         "
"1318",4252,19110,"Sierra Madre Sparrow                               ","Bruant des sierras                                 ","Xenospiza baileyi                                  ","Passeriformes                                      ","Emberizidae                                        ","Xenospiza                                          ","baileyi                                           "
"1319",4255,5850,"Fox Sparrow                                        ","Bruant fauve                                       ","Passerella iliaca                                  ","Passeriformes                                      ","Emberizidae                                        ","Passerella                                         ","iliaca                                            "
"1320",4267,5810,"Song Sparrow                                       ","Bruant chanteur                                    ","Melospiza melodia                                  ","Passeriformes                                      ","Emberizidae                                        ","Melospiza                                          ","melodia                                           "
"1321",4270,5830,"Lincoln's Sparrow                                  ","Bruant de Lincoln                                  ","Melospiza lincolnii                                ","Passeriformes                                      ","Emberizidae                                        ","Melospiza                                          ","lincolnii                                         "
"1322",4273,5840,"Swamp Sparrow                                      ","Bruant des marais                                  ","Melospiza georgiana                                ","Passeriformes                                      ","Emberizidae                                        ","Melospiza                                          ","georgiana                                         "
"1323",4276,19120,"Rufous-collared Sparrow                            ","Bruant chingolo                                    ","Zonotrichia capensis                               ","Passeriformes                                      ","Emberizidae                                        ","Zonotrichia                                        ","capensis                                          "
"1324",4279,5580,"White-throated Sparrow                             ","Bruant à gorge blanche                             ","Zonotrichia albicollis                             ","Passeriformes                                      ","Emberizidae                                        ","Zonotrichia                                        ","albicollis                                        "
"1325",4282,5530,"Harris's Sparrow                                   ","Bruant à face noire                                ","Zonotrichia querula                                ","Passeriformes                                      ","Emberizidae                                        ","Zonotrichia                                        ","querula                                           "
"1326",4285,5540,"White-crowned Sparrow                              ","Bruant à couronne blanche                          ","Zonotrichia leucophrys                             ","Passeriformes                                      ","Emberizidae                                        ","Zonotrichia                                        ","leucophrys                                        "
"1327",4288,5570,"Golden-crowned Sparrow                             ","Bruant à couronne dorée                            ","Zonotrichia atricapilla                            ","Passeriformes                                      ","Emberizidae                                        ","Zonotrichia                                        ","atricapilla                                       "
"1328",4291,5670,"(Slate-colored Junco) Dark-eyed Junco              ","Junco ardoisé (groupe hyemalis)                    ","Junco hyemalis hyemalis                            ","Passeriformes                                      ","Emberizidae                                        ","Junco                                              ","hyemalis hyemalis                                 "
"1329",4294,5671,"(Oregon Junco) Dark-eyed Junco                     ","Junco ardoisé (groupe oreganus)                    ","Junco hyemalis oreganus                            ","Passeriformes                                      ","Emberizidae                                        ","Junco                                              ","hyemalis oreganus                                 "
"1330",4297,5680,"(Pink-sided Junco) Dark-eyed Junco                 ","Junco ardoisé (groupe mearnsi)                     ","Junco hyemalis mearnsi                             ","Passeriformes                                      ","Emberizidae                                        ","Junco                                              ","hyemalis mearnsi                                  "
"1331",4300,5660,"(White-winged Junco) Dark-eyed Junco               ","Junco ardoisé (à ailes blanches)                   ","Junco hyemalis aikeni                              ","Passeriformes                                      ","Emberizidae                                        ","Junco                                              ","hyemalis aikeni                                   "
"1332",4303,5690,"(Gray-headed Junco) Dark-eyed Junco                ","Junco ardoisé (à tête grise)                       ","Junco hyemalis caniceps                            ","Passeriformes                                      ","Emberizidae                                        ","Junco                                              ","hyemalis caniceps                                 "
"1333",4306,5720,"(Guadalupe Junco) Dark-eyed Junco                  ","Junco ardoisé (groupe guadalupensis)               ","Junco hyemalis insularis                           ","Passeriformes                                      ","Emberizidae                                        ","Junco                                              ","hyemalis insularis                                "
"1334",4309,5677,"(unid. race) Dark-eyed Junco                       ","Junco ardoisé (groupe non identifié)               ","Junco hyemalis                                     ","Passeriformes                                      ","Emberizidae                                        ","Junco                                              ","hyemalis                                          "
"1335",4312,5700,"Yellow-eyed Junco                                  ","Junco aux yeux jaunes                              ","Junco phaeonotus                                   ","Passeriformes                                      ","Emberizidae                                        ","Junco                                              ","phaeonotus                                        "
"1336",4315,18420,"Common Bush-Tanager                                ","Chlorospin des buissons                            ","Chlorospingus ophthalmicus                         ","Passeriformes                                      ","Emberizidae                                        ","Chlorospingus                                      ","ophthalmicus                                      "
"1337",4327,5351,"Rustic Bunting                                     ","Bruant rustique                                    ","Emberiza rustica                                   ","Passeriformes                                      ","Emberizidae                                        ","Emberiza                                           ","rustica                                           "
"1338",4345,18290,"Rose-throated Tanager                              ","Piranga à gorge rose                               ","Piranga roseogularis                               ","Passeriformes                                      ","Cardinalidae                                       ","Piranga                                            ","roseogularis                                      "
"1339",4348,6090,"Hepatic Tanager                                    ","Tangara orangé                                     ","Piranga flava                                      ","Passeriformes                                      ","Cardinalidae                                       ","Piranga                                            ","flava                                             "
"1340",4351,6100,"Summer Tanager                                     ","Tangara vermillon                                  ","Piranga rubra                                      ","Passeriformes                                      ","Cardinalidae                                       ","Piranga                                            ","rubra                                             "
"1341",4354,6080,"Scarlet Tanager                                    ","Tangara écarlate                                   ","Piranga olivacea                                   ","Passeriformes                                      ","Cardinalidae                                       ","Piranga                                            ","olivacea                                          "
"1342",4357,6070,"Western Tanager                                    ","Tangara à tête rouge                               ","Piranga ludoviciana                                ","Passeriformes                                      ","Cardinalidae                                       ","Piranga                                            ","ludoviciana                                       "
"1343",4360,6071,"Flame-colored Tanager                              ","Piranga à dos rayé                                 ","Piranga bidentata                                  ","Passeriformes                                      ","Cardinalidae                                       ","Piranga                                            ","bidentata                                         "
"1344",4363,18310,"White-winged Tanager                               ","Piranga bifascié                                   ","Piranga leucoptera                                 ","Passeriformes                                      ","Cardinalidae                                       ","Piranga                                            ","leucoptera                                        "
"1345",4366,18320,"Red-headed Tanager                                 ","Piranga érythrocéphale                             ","Piranga erythrocephala                             ","Passeriformes                                      ","Cardinalidae                                       ","Piranga                                            ","erythrocephala                                    "
"1346",4369,18260,"Red-crowned Ant-Tanager                            ","Habia à couronne rouge                             ","Habia rubica                                       ","Passeriformes                                      ","Cardinalidae                                       ","Habia                                              ","rubica                                            "
"1347",4372,18270,"Red-throated Ant-Tanager                           ","Habia à gorge rouge                                ","Habia fuscicauda                                   ","Passeriformes                                      ","Cardinalidae                                       ","Habia                                              ","fuscicauda                                        "
"1348",4375,18570,"Black-faced Grosbeak                               ","Cardinal à ventre blanc                            ","Caryothraustes poliogaster                         ","Passeriformes                                      ","Cardinalidae                                       ","Caryothraustes                                     ","poliogaster                                       "
"1349",4378,5941,"Crimson-collared Grosbeak                          ","Cardinal à collier                                 ","Rhodothraupis celaeno                              ","Passeriformes                                      ","Cardinalidae                                       ","Rhodothraupis                                      ","celaeno                                           "
"1350",4381,5930,"Northern Cardinal                                  ","Cardinal rouge                                     ","Cardinalis cardinalis                              ","Passeriformes                                      ","Cardinalidae                                       ","Cardinalis                                         ","cardinalis                                        "
"1351",4384,5940,"Pyrrhuloxia                                        ","Cardinal pyrrhuloxia                               ","Cardinalis sinuatus                                ","Passeriformes                                      ","Cardinalidae                                       ","Cardinalis                                         ","sinuatus                                          "
"1352",4387,5935,"unid. Northern Cardinal / Pyrrhuloxia              ","unid Cardinal rouge / Cardinal pyrrhuloxia         ","Cardinalis cardinalis / sinuatus                   ","Passeriformes                                      ","Cardinalidae                                       ","Cardinalis                                         ","cardinalis / sinuatus                             "
"1353",4390,5961,"Yellow Grosbeak                                    ","Cardinal jaune                                     ","Pheucticus chrysopeplus                            ","Passeriformes                                      ","Cardinalidae                                       ","Pheucticus                                         ","chrysopeplus                                      "
"1354",4393,5950,"Rose-breasted Grosbeak                             ","Cardinal à poitrine rose                           ","Pheucticus ludovicianus                            ","Passeriformes                                      ","Cardinalidae                                       ","Pheucticus                                         ","ludovicianus                                      "
"1355",4396,5960,"Black-headed Grosbeak                              ","Cardinal à tête noire                              ","Pheucticus melanocephalus                          ","Passeriformes                                      ","Cardinalidae                                       ","Pheucticus                                         ","melanocephalus                                    "
"1356",4399,17750,"Red-breasted Chat                                  ","Granatelle multicolore                             ","Granatellus venustus                               ","Passeriformes                                      ","Cardinalidae                                       ","Granatellus                                        ","venustus                                          "
"1357",4402,17760,"Gray-throated Chat                                 ","Granatelle à plastron                              ","Granatellus sallaei                                ","Passeriformes                                      ","Cardinalidae                                       ","Granatellus                                        ","sallaei                                           "
"1358",4405,18880,"Blue Seedeater                                     ","Évêque bleu                                        ","Amaurospiza concolor                               ","Passeriformes                                      ","Cardinalidae                                       ","Amaurospiza                                        ","concolor                                          "
"1359",4408,18600,"Blue-black Grosbeak                                ","Évêque bleu-noir                                   ","Cyanocompsa cyanoides                              ","Passeriformes                                      ","Cardinalidae                                       ","Cyanocompsa                                        ","cyanoides                                         "
"1360",4411,5971,"Blue Bunting                                       ","Évêque paré                                        ","Cyanocompsa parellina                              ","Passeriformes                                      ","Cardinalidae                                       ","Cyanocompsa                                        ","parellina                                         "
"1361",4414,5970,"Blue Grosbeak                                      ","Guiraca bleu                                       ","Passerina caerulea                                 ","Passeriformes                                      ","Cardinalidae                                       ","Passerina                                          ","caerulea                                          "
"1362",4417,5990,"Lazuli Bunting                                     ","Passerin azuré                                     ","Passerina amoena                                   ","Passeriformes                                      ","Cardinalidae                                       ","Passerina                                          ","amoena                                            "
"1363",4420,5980,"Indigo Bunting                                     ","Passerin indigo                                    ","Passerina cyanea                                   ","Passeriformes                                      ","Cardinalidae                                       ","Passerina                                          ","cyanea                                            "
"1364",4423,5986,"hybrid Lazuli Bunting x Indigo Bunting             ","hybride Passerin azuré x Passerin indigo           ","Passerina amoena x cyanea                          ","Passeriformes                                      ","Cardinalidae                                       ","Passerina                                          ","amoena x cyanea                                   "
"1365",4426,18610,"Rose-bellied Bunting                               ","Passerin à ventre rose                             ","Passerina rositae                                  ","Passeriformes                                      ","Cardinalidae                                       ","Passerina                                          ","rositae                                           "
"1366",4429,18620,"Orange-breasted Bunting                            ","Passerin arc-en-ciel                               ","Passerina leclancherii                             ","Passeriformes                                      ","Cardinalidae                                       ","Passerina                                          ","leclancherii                                      "
"1367",4432,6000,"Varied Bunting                                     ","Passerin varié                                     ","Passerina versicolor                               ","Passeriformes                                      ","Cardinalidae                                       ","Passerina                                          ","versicolor                                        "
"1368",4435,6010,"Painted Bunting                                    ","Passerin nonpareil                                 ","Passerina ciris                                    ","Passeriformes                                      ","Cardinalidae                                       ","Passerina                                          ","ciris                                             "
"1369",4438,6040,"Dickcissel                                         ","Dickcissel d'Amérique                              ","Spiza americana                                    ","Passeriformes                                      ","Cardinalidae                                       ","Spiza                                              ","americana                                         "
"1370",4441,4940,"Bobolink                                           ","Goglu des prés                                     ","Dolichonyx oryzivorus                              ","Passeriformes                                      ","Icteridae                                          ","Dolichonyx                                         ","oryzivorus                                        "
"1371",4444,4980,"Red-winged Blackbird                               ","Carouge à épaulettes                               ","Agelaius phoeniceus                                ","Passeriformes                                      ","Icteridae                                          ","Agelaius                                           ","phoeniceus                                        "
"1372",4447,5000,"Tricolored Blackbird                               ","Carouge de Californie                              ","Agelaius tricolor                                  ","Passeriformes                                      ","Icteridae                                          ","Agelaius                                           ","tricolor                                          "
"1373",4450,5001,"Tawny-shouldered Blackbird                         ","Petit Carouge                                      ","Agelaius humeralis                                 ","Passeriformes                                      ","Icteridae                                          ","Agelaius                                           ","humeralis                                         "
"1374",4453,19140,"Yellow-shouldered Blackbird                        ","Carouge de Porto Rico                              ","Agelaius xanthomus                                 ","Passeriformes                                      ","Icteridae                                          ","Agelaius                                           ","xanthomus                                         "
"1375",4456,5010,"Eastern Meadowlark                                 ","Sturnelle des prés                                 ","Sturnella magna                                    ","Passeriformes                                      ","Icteridae                                          ","Sturnella                                          ","magna                                             "
"1376",4459,5011,"Western Meadowlark                                 ","Sturnelle de l'Ouest                               ","Sturnella neglecta                                 ","Passeriformes                                      ","Icteridae                                          ","Sturnella                                          ","neglecta                                          "
"1377",4462,5012,"unid. Eastern Meadowlark / Western Meadowlark      ","unid Sturnelle des prés / Sturnelle de l'Ouest     ","Sturnella magna / neglecta                         ","Passeriformes                                      ","Icteridae                                          ","Sturnella                                          ","magna / neglecta                                  "
"1378",4465,4970,"Yellow-headed Blackbird                            ","Carouge à tête jaune                               ","Xanthocephalus xanthocephalus                      ","Passeriformes                                      ","Icteridae                                          ","Xanthocephalus                                     ","xanthocephalus                                    "
"1379",4468,19170,"Melodious Blackbird                                ","Quiscale chanteur                                  ","Dives dives                                        ","Passeriformes                                      ","Icteridae                                          ","Dives                                              ","dives                                             "
"1380",4471,5090,"Rusty Blackbird                                    ","Quiscale rouilleux                                 ","Euphagus carolinus                                 ","Passeriformes                                      ","Icteridae                                          ","Euphagus                                           ","carolinus                                         "
"1381",4474,5100,"Brewer's Blackbird                                 ","Quiscale de Brewer                                 ","Euphagus cyanocephalus                             ","Passeriformes                                      ","Icteridae                                          ","Euphagus                                           ","cyanocephalus                                     "
"1382",4477,5110,"Common Grackle                                     ","Quiscale bronzé                                    ","Quiscalus quiscula                                 ","Passeriformes                                      ","Icteridae                                          ","Quiscalus                                          ","quiscula                                          "
"1383",4480,5130,"Boat-tailed Grackle                                ","Quiscale des marais                                ","Quiscalus major                                    ","Passeriformes                                      ","Icteridae                                          ","Quiscalus                                          ","major                                             "
"1384",4483,5120,"Great-tailed Grackle                               ","Quiscale à longue queue                            ","Quiscalus mexicanus                                ","Passeriformes                                      ","Icteridae                                          ","Quiscalus                                          ","mexicanus                                         "
"1385",4486,5135,"unid. Boat-tailed Grackle / Great-tailed Grackle   ","unid Quiscale des marais / Quiscale à longue queue ","Quiscalus major / mexicanus                        ","Passeriformes                                      ","Icteridae                                          ","Quiscalus                                          ","major / mexicanus                                 "
"1386",4489,19210,"Greater Antillean Grackle                          ","Quiscale noir                                      ","Quiscalus niger                                    ","Passeriformes                                      ","Icteridae                                          ","Quiscalus                                          ","niger                                             "
"1387",4492,4961,"Shiny Cowbird                                      ","Vacher luisant                                     ","Molothrus bonariensis                              ","Passeriformes                                      ","Icteridae                                          ","Molothrus                                          ","bonariensis                                       "
"1388",4495,4960,"Bronzed Cowbird                                    ","Vacher bronzé                                      ","Molothrus aeneus                                   ","Passeriformes                                      ","Icteridae                                          ","Molothrus                                          ","aeneus                                            "
"1389",4498,4950,"Brown-headed Cowbird                               ","Vacher à tête brune                                ","Molothrus ater                                     ","Passeriformes                                      ","Icteridae                                          ","Molothrus                                          ","ater                                              "
"1390",4501,19240,"Giant Cowbird                                      ","Vacher géant                                       ","Molothrus oryzivorus                               ","Passeriformes                                      ","Icteridae                                          ","Molothrus                                          ","oryzivorus                                        "
"1391",4504,4955,"unid. Cowbird                                      ","unid Vacher sp.                                    ","Molothrus sp.                                      ","Passeriformes                                      ","Icteridae                                          ","Molothrus                                          ","sp.                                               "
"1392",4507,19250,"Puerto Rican Oriole                                ","Oriole de Porto Rico                               ","Icterus portoricensis                              ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","portoricensis                                     "
"1393",4510,5041,"Black-vented Oriole                                ","Oriole cul-noir                                    ","Icterus wagleri                                    ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","wagleri                                           "
"1394",4513,19290,"Bar-winged Oriole                                  ","Oriole unifascié                                   ","Icterus maculialatus                               ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","maculialatus                                      "
"1395",4516,19251,"Black-cowled Oriole                                ","Oriole monacal                                     ","Icterus prosthemelas                               ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","prosthemelas                                      "
"1396",4519,5060,"Orchard Oriole                                     ","Oriole des vergers                                 ","Icterus spurius                                    ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","spurius                                           "
"1397",4522,5050,"Hooded Oriole                                      ","Oriole masqué                                      ","Icterus cucullatus                                 ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","cucullatus                                        "
"1398",4525,19300,"Yellow-backed Oriole                               ","Oriole noir et or                                  ","Icterus chrysater                                  ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","chrysater                                         "
"1399",4528,19320,"Yellow-tailed Oriole                               ","Oriole à queue jaune                               ","Icterus mesomelas                                  ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","mesomelas                                         "
"1400",4531,5020,"Venezuelan Troupial                                ","Oriole troupiale                                   ","Icterus icterus                                    ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","icterus                                           "
"1401",4534,5051,"Streak-backed Oriole                               ","Oriole à dos rayé                                  ","Icterus pustulatus                                 ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","pustulatus                                        "
"1402",4537,5080,"Bullock's Oriole                                   ","Oriole de Bullock                                  ","Icterus bullockii                                  ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","bullockii                                         "
"1403",4540,19330,"Orange Oriole                                      ","Oriole orange                                      ","Icterus auratus                                    ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","auratus                                           "
"1404",4543,5032,"Spot-breasted Oriole                               ","Oriole maculé                                      ","Icterus pectoralis                                 ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","pectoralis                                        "
"1405",4546,5031,"Altamira Oriole                                    ","Oriole à gros bec                                  ","Icterus gularis                                    ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","gularis                                           "
"1406",4549,5030,"Audubon's Oriole                                   ","Oriole d'Audubon                                   ","Icterus graduacauda                                ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","graduacauda                                       "
"1407",4552,5070,"Baltimore Oriole                                   ","Oriole de Baltimore                                ","Icterus galbula                                    ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","galbula                                           "
"1408",4555,5078,"hybrid Bullock's Oriole x Baltimore Oriole         ","hybride Oriole de Baltimore x Oriole de Bullock's  ","Icterus bullockii x galbula                        ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","bullockii x galbula                               "
"1409",4558,5077,"unid. Bullock's Oriole / Baltimore Oriole          ","unid Oriole de Baltimore / Oriole de Bullock's     ","Icterus bullockii / galbula                        ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","bullockii / galbula                               "
"1410",4561,19341,"Black-backed Oriole                                ","Oriole d'Abeillé                                   ","Icterus abeillei                                   ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","abeillei                                          "
"1411",4564,5040,"Scott's Oriole                                     ","Oriole jaune-verdâtre                              ","Icterus parisorum                                  ","Passeriformes                                      ","Icteridae                                          ","Icterus                                            ","parisorum                                         "
"1412",4567,19350,"Yellow-billed Cacique                              ","Cassique à bec jaune                               ","Amblycercus holosericeus                           ","Passeriformes                                      ","Icteridae                                          ","Amblycercus                                        ","holosericeus                                      "
"1413",4570,19380,"Yellow-winged Cacique                              ","Cassique à ailes jaunes                            ","Cacicus melanicterus                               ","Passeriformes                                      ","Icteridae                                          ","Cacicus                                            ","melanicterus                                      "
"1414",4573,19400,"Chestnut-headed Oropendola                         ","Cassique à tête brune                              ","Psarocolius wagleri                                ","Passeriformes                                      ","Icteridae                                          ","Psarocolius                                        ","wagleri                                           "
"1415",4576,19410,"Montezuma Oropendola                               ","Cassique de Montezuma                              ","Psarocolius montezuma                              ","Passeriformes                                      ","Icteridae                                          ","Psarocolius                                        ","montezuma                                         "
